id,period,publication_date,prior_target,advance,scope,resistance,difficulty_score,category,framing_year,solution_year,age_decades,provisional,description,anchor_claim,prior_rationale,advance_rationale,scope_rationale,resistance_rationale,age_rationale,coding_confidence,challenge_policy_version,challenge_audit_status
225,2025-02,2025-02-04,0,1,1,0,2,Expected,,2025,,1,"metric distortion of small-group deliberation. v5 reports GPT 5.5 Pro added rigor to Theorems 2.3, 4.4 and 3.10 and rational certificates for Theorem 4.1; earlier ChatGPT 4o paraphrased and supplied optimization code. Published provisionally because the exact unresolved checks remain material: Resolve model-versus-author/BARON allocation and independently replay rational certificates.","The paper reports improved small-k distortion bounds and near-tight 1+epsilon asymptotics for deliberating groups, plus a nonconvex optimization characterization.",No separately dated prior target is coded for this bounded result.,"The source reports a material new result, construction, algorithm, or bound without a fully settled prior target.",The anchor applies uniformly across the stated unbounded class or parameter family.,The coded sources do not establish the strict resistance criterion for this exact target.,Further checking required: Resolve model-versus-author/BARON allocation and independently replay rational certificates. Keep provisional and do not assign the Superhuman override.,medium,0.1.0,pending_v1_audit
25--1,2025-04,2025-04-01,1,1,0,1,3,Difficult,,2025,,0,deletion-correcting code constructions. an llm-guided funsearch adaptation recovered a function constructing the conjectured-optimal varshamov--tenengolts code for one deletion and improved prior finite constructions for multiple deletions and quaternary edit channels. proved construction and improved finite codes . the single-deletion construction is proved; the multi-deletion results are explicit computational constructions rather than a general theorem. \\,"Two-deletion binary codes at lengths 12, 13 and 16 improve prior explicit, search-based and neural constructions.","The paper benchmarks these exact finite deletion-code targets against already published explicit constructions, combinatorial searches and neural searches.",The result improves known constructions and lower bounds but does not determine the optimal code sizes or settle the general deletion-code problem.,"The anchor concerns a small set of fixed block lengths and deletion counts, not a uniform unbounded family.",The related-work comparison documents several methodologically independent prior attacks on the same coding objective.,Not eligible for the duration override because the advance is an improvement rather than a complete settlement.,high,0.1.0,pending_v1_audit
25--2,2025-05,2025-05-14,1,1,0,0,2,Expected,,2025,,0,"alphaevolve mathematics portfolio. the first public announcement reported new solutions or improved constructions across more than 50 open mathematical problems, including a 48-scalar-multiplication algorithm for complex matrices; later technical reports expanded the portfolio. improved algorithms and bounds . counted once at first public report; later papers are supporting documentation, not additional monthly entries. \\","AlphaEvolve gives a 48-scalar-multiplication algorithm for multiplying 4 by 4 complex matrices, improving the Strassen-era record.",The scalar-multiplication count for this fixed matrix product is a public optimization target with Strassen's construction as the longstanding benchmark.,"A better algorithm lowers the upper bound, but the paper does not prove that 48 multiplications are optimal.",The anchor is one fixed matrix dimension and one computational object.,The available evidence clearly establishes the Strassen baseline but does not document two independent prior attempts at this exact fixed target.,Not eligible for the duration override because the advance is not an optimality proof or complete settlement.,medium-high,0.1.0,pending_v1_audit
25--3,2025-08,2025-08-11,1,1,1,1,4,Difficult,,2025,,0,"-evolve cap-set and shannon-capacity constructions. a larger partial admissible set raised the cap-set constant lower bound to , while an independent set of size 19,946 in raised the corresponding shannon-capacity lower bound. improved lower bounds . explicit finite constructions in a technical preprint; grouped as one system-paper result package. \\",An improved partial admissible set raises the asymptotic cap-set lower-bound constant from 2.2202 to 2.2203.,Improving the published asymptotic cap-set construction constant was an explicit public target before this work.,The construction improves the best lower bound but neither determines the sharp constant nor closes the cap-set problem.,The bound applies asymptotically over an unbounded sequence of dimensions.,"The paper records a sequence of independent published improvements, including constants 2.2101, 2.2173, 2.2180 and 2.2202, on the same target.","Not eligible for the duration override because the advance is a record improvement, not a complete solution.",high,0.1.0,pending_v1_audit
25--4,2025-08,2025-08-16,1,1,1,1,4,Difficult,,2025,,0,"three-player approximate nash equilibrium. legone discovered a polynomial-time algorithm improving the worst-case guarantee from to , beyond the previously known multiplayer extension technique. improved algorithm and guarantee . the symbolic certificate establishes the worst-case guarantee. \\",A polynomial-time algorithm improves the worst-case guarantee for approximate Nash equilibria in all three-player games from 0.6 plus delta to 0.5 plus delta.,The best polynomial-time approximation guarantee for three-player Nash equilibria was a public benchmark with an explicit prior bound.,The result materially improves that guarantee but does not prove the new factor optimal or solve exact equilibrium computation.,The theorem is uniform over all three-player games and arbitrary action-set sizes.,The paper places the result after multiple distinct prior algorithms and extensions aimed at multiplayer approximate Nash equilibria.,Not eligible for the duration override because the result improves a bound rather than settling the target sharply.,medium-high,0.1.0,pending_v1_audit
25--5,2025-09,2025-09-03,0,1,1,0,2,Expected,,2025,,0,"quantitative malliavin--stein fourth-moment bounds. gpt-5 extended qualitative fourth-moment results to explicit convergence rates in gaussian and poisson settings, addressing a question the authors report had not previously been treated. proved quantitative bounds . expert-authored paper; no proof-assistant formalization. \\",The paper proves quantitative fourth-moment bounds with explicit convergence rates in Gaussian and Poisson settings.,"The authors describe obtaining quantitative rates here as a direction that had not previously been addressed, rather than as an exact public conjecture.","These are material new general theorems, but they do not settle a pre-existing sharp target or provide a complete classification.",The results cover broad Gaussian and Poisson classes rather than a fixed instance.,No prior attempts on this exact quantitative target are documented because the paper presents the target as previously unaddressed.,Not eligible for the duration override because there was no precise pre-existing public target and the advance is not a complete settlement.,high,0.1.0,pending_v1_audit
25--6,2025-09,2025-09-17,1,1,0,0,2,Expected,,2025,,0,circle packing by sample-efficient program evolution. shinkaevolve reported a new best-known circle-packing construction using only 150 candidate samples. improved construction . computationally evaluated construction in an open-source system paper. \\,ShinkaEvolve improves the best-known sum of radii for packing 26 circles in a unit square using about 150 evaluations.,Maximizing the sum of radii for a fixed number of non-overlapping circles in a square is a public computational optimization target with a prior record.,The new packing improves the record but does not prove a matching upper bound or optimality.,The anchor is the single fixed instance with 26 circles.,The source clearly identifies a previous record but does not document two independent prior attacks on this exact fixed instance.,"Not eligible for the duration override because the result is a better construction, not a complete solution.",high,0.1.0,pending_v1_audit
25--7,2025-09,2025-09-22,0,2,1,0,3,Difficult,,2025,,0,"g""odel test, problem 2. gpt-5 derived a different approximation guarantee that refuted the authors' proposed conjecture while giving a valid replacement result. counterexample and theorem . the authors checked the derivation and document both successes and failures. \\","For monotone submodular maximization under a p-system, the valid bicriteria dependence uses a logarithm with base 1 plus 1 over p rather than base p plus 1, refuting the authors' proposed formula.","The conjecture was newly created and withheld by the benchmark authors, so it was not a pre-existing public target.",The response fully refutes the supplied universal conjecture and derives the corrected dependence.,The argument applies uniformly across p-systems and accuracy parameters rather than to a single instance.,"There could not have been two documented public attempts on the withheld, newly formulated conjecture.",Not eligible for the duration override because the exact target was not public before the evaluation.,medium-high,0.1.0,pending_v1_audit
25--8,2025-09,2025-09-22,1,1,1,0,3,Difficult,,2025,,0,"certification on random regular graphs. near-optimal upper and conditional lower bounds were obtained for certifying max-cut and max-independent set on random 3- and 4-regular graphs, using nearly extremal ramanujan graphs found by alphaevolve. sharper bounds . expert-authored proof with explicit ai-generated constructions and verification procedures. \\","The random 3-regular MAX-CUT certificate nearly matches the conjectured optimum, agreeing through two decimal places.",Near-optimal certification for random regular graph problems was explicitly posed in the prior Kunisky-Yu framework.,The certificate substantially narrows the gap but remains near-matching rather than an exact determination of the optimum.,The statement concerns an asymptotic random-graph ensemble as the number of vertices grows.,The evidence identifies the Kunisky-Yu framework as the principal direct predecessor but does not establish two independent prior attempts on this exact certification target.,Not eligible for the duration override because the bounds are near-optimal rather than a complete settlement.,high,0.1.0,pending_v1_audit
25--9,2025-09,2025-09-22,1,1,1,1,4,Difficult,,2025,,0,max- -cut inapproximability. new gadget reductions improve np-hardness-of-approximation factors for max-4-cut and the best gadget-based factor for max-3-cut reported by the paper. improved hardness results . the reductions and soundness arguments are checked by the authors. \\,The NP-hardness threshold for MAX-4-CUT is improved from 0.9883 to 0.987.,Improving the published worst-case hardness factor for MAX-4-CUT was a precise public target with an explicit incumbent threshold.,The new reduction strengthens the hardness bound but does not establish the optimal approximation threshold.,The hardness statement is uniform over general MAX-4-CUT instances of unbounded size.,The paper documents multiple independent prior reductions and gadget constructions directed at the same approximation-hardness frontier.,"Not eligible for the duration override because this is a quantitative improvement, not a sharp settlement.",high,0.1.0,pending_v1_audit
