period,total,expected,difficult,superhuman,unassessed,difficult_plus_share,backfill,date_uncertain,collection_unknown,assigned:Expected,candidate:Expected,assigned:Difficult,candidate:Difficult,assigned:Superhuman,candidate:Superhuman,candidate:unresolved
2023-11,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
2023-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2025-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
2025-05,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
2025-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08,2,0,2,0,0,1,0,0,2,0,0,2,0,0,0,0
2025-09,6,3,2,0,1,0.3333333333333333,0,0,6,0,3,2,0,0,0,1
2025-10,3,0,1,2,0,1,1,0,2,0,0,0,1,2,0,0
2025-11,6,1,2,2,1,0.6666666666666666,0,0,6,0,1,2,0,2,0,1
2025-12,2,1,0,0,1,0,0,0,2,0,1,0,0,0,0,1
2026-01,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2026-02,4,2,2,0,0,0.5,0,0,4,0,2,2,0,0,0,0
2026-03,6,2,1,2,1,0.5,0,0,6,0,2,1,0,2,0,1
2026-04,13,6,1,6,0,0.5384615384615384,2,2,9,1,5,0,1,6,0,0
2026-05,27,2,10,15,0,0.9259259259259259,1,0,26,1,1,8,2,15,0,0
2026-06,4,0,4,0,0,1,0,3,1,0,0,4,0,0,0,0
2026-07,77,14,35,28,0,0.8181818181818182,4,5,68,1,13,32,3,26,2,0
2026-08,799,432,254,48,65,0.37797246558197745,25,208,386,26,406,141,113,40,8,65
2026-09,1297,559,688,25,25,0.5497301464919044,33,109,0,33,526,64,624,15,10,25
